Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","0.1u","C_0805_2012Metric",37.160000,-33.920000,270.000000,bottom
"C2","0.1u","C_0805_2012Metric",17.173750,-38.558750,0.000000,bottom
"C3","0.1u","C_0805_2012Metric",32.060000,-46.910000,0.000000,bottom
"C4","10u","C_0805_2012Metric",23.123750,-28.750000,180.000000,bottom
"C5","22p","C_0805_2012Metric",40.960000,-34.870000,180.000000,bottom
"C6","22p","C_0805_2012Metric",40.960000,-40.470000,180.000000,bottom
"C7","1u","C_0805_2012Metric",28.120000,-27.470000,270.000000,bottom
"D1","1N4148","D_SOD-123",16.937500,-9.793750,90.000000,bottom
"D2","1N4148","D_SOD-123",20.112500,-9.793750,90.000000,bottom
"D3","1N4148","D_SOD-123",37.575000,-9.793750,90.000000,bottom
"D4","1N4148","D_SOD-123",56.625000,-9.793750,90.000000,bottom
"D5","1N4148","D_SOD-123",75.675000,-9.793750,90.000000,bottom
"D6","1N4148","D_SOD-123",94.725000,-9.793750,90.000000,bottom
"D7","1N4148","D_SOD-123",113.775000,-9.793750,90.000000,bottom
"D8","1N4148","D_SOD-123",132.825000,-9.793750,90.000000,bottom
"D9","1N4148","D_SOD-123",151.875000,-9.793750,90.000000,bottom
"D10","1N4148","D_SOD-123",170.925000,-9.793750,90.000000,bottom
"D11","1N4148","D_SOD-123",189.975000,-9.793750,90.000000,bottom
"D12","1N4148","D_SOD-123",209.025000,-9.793750,90.000000,bottom
"D13","1N4148","D_SOD-123",228.075000,-9.793750,90.000000,bottom
"D14","1N4148","D_SOD-123",247.125000,-9.793750,90.000000,bottom
"D15","1N4148","D_SOD-123",283.637500,-9.793750,90.000000,bottom
"D16","1N4148","D_SOD-123",286.812500,-9.793750,90.000000,bottom
"D17","1N4148","D_SOD-123",5.825000,-29.637500,90.000000,bottom
"D18","1N4148","D_SOD-123",67.737500,-28.843750,90.000000,bottom
"D19","1N4148","D_SOD-123",64.562500,-28.843750,90.000000,bottom
"D20","1N4148","D_SOD-123",83.612500,-28.843750,90.000000,bottom
"D21","1N4148","D_SOD-123",86.787500,-28.843750,90.000000,bottom
"D22","1N4148","D_SOD-123",104.250000,-28.843750,90.000000,bottom
"D23","1N4148","D_SOD-123",123.300000,-28.843750,90.000000,bottom
"D24","1N4148","D_SOD-123",142.350000,-28.843750,90.000000,bottom
"D25","1N4148","D_SOD-123",161.400000,-28.843750,90.000000,bottom
"D26","1N4148","D_SOD-123",180.450000,-28.843750,90.000000,bottom
"D27","1N4148","D_SOD-123",199.500000,-28.843750,90.000000,bottom
"D28","1N4148","D_SOD-123",218.550000,-28.843750,90.000000,bottom
"D29","1N4148","D_SOD-123",237.600000,-28.843750,90.000000,bottom
"D30","1N4148","D_SOD-123",261.412500,-28.843750,90.000000,bottom
"D31","1N4148","D_SOD-123",285.225000,-28.843750,90.000000,bottom
"D32","1N4148","D_SOD-123",24.081250,-47.893750,90.000000,bottom
"D33","1N4148","D_SOD-123",50.275000,-47.893750,90.000000,bottom
"D34","1N4148","D_SOD-123",53.450000,-47.893750,90.000000,bottom
"D35","1N4148","D_SOD-123",70.912500,-47.893750,90.000000,bottom
"D36","1N4148","D_SOD-123",89.962500,-47.893750,90.000000,bottom
"D37","1N4148","D_SOD-123",109.012500,-47.893750,90.000000,bottom
"D38","1N4148","D_SOD-123",128.062500,-47.893750,90.000000,bottom
"D39","1N4148","D_SOD-123",147.112500,-47.893750,90.000000,bottom
"D40","1N4148","D_SOD-123",166.162500,-47.893750,90.000000,bottom
"D41","1N4148","D_SOD-123",185.212500,-47.893750,90.000000,bottom
"D42","1N4148","D_SOD-123",204.262500,-47.893750,90.000000,bottom
"D43","1N4148","D_SOD-123",223.312500,-47.893750,90.000000,bottom
"D44","1N4148","D_SOD-123",254.268750,-47.893750,90.000000,bottom
"D45","1N4148","D_SOD-123",285.225000,-47.893750,90.000000,bottom
"D46","1N4148","D_SOD-123",28.843750,-66.943750,90.000000,bottom
"D47","1N4148","D_SOD-123",42.337500,-66.943750,90.000000,bottom
"D48","1N4148","D_SOD-123",61.387500,-66.943750,90.000000,bottom
"D49","1N4148","D_SOD-123",80.437500,-66.943750,90.000000,bottom
"D50","1N4148","D_SOD-123",99.487500,-66.943750,90.000000,bottom
"D51","1N4148","D_SOD-123",118.537500,-66.943750,90.000000,bottom
"D52","1N4148","D_SOD-123",137.587500,-66.943750,90.000000,bottom
"D53","1N4148","D_SOD-123",156.637500,-66.943750,90.000000,bottom
"D54","1N4148","D_SOD-123",175.687500,-66.943750,90.000000,bottom
"D55","1N4148","D_SOD-123",194.737500,-66.943750,90.000000,bottom
"D56","1N4148","D_SOD-123",213.787500,-66.943750,90.000000,bottom
"D57","1N4148","D_SOD-123",239.981250,-66.943750,90.000000,bottom
"D58","1N4148","D_SOD-123",266.175000,-66.943750,90.000000,bottom
"D59","1N4148","D_SOD-123",285.225000,-66.943750,90.000000,bottom
"D60","1N4148","D_SOD-123",21.700000,-85.993750,90.000000,bottom
"D61","1N4148","D_SOD-123",25.668750,-85.993750,90.000000,bottom
"D62","1N4148","D_SOD-123",49.481250,-85.993750,90.000000,bottom
"D63","1N4148","D_SOD-123",120.918750,-85.993750,90.000000,bottom
"D64","1N4148","D_SOD-123",191.562500,-85.993750,90.000000,bottom
"D65","1N4148","D_SOD-123",213.787500,-85.993750,90.000000,bottom
"D66","1N4148","D_SOD-123",264.587500,-85.993750,90.000000,bottom
"D67","1N4148","D_SOD-123",267.762500,-85.993750,90.000000,bottom
"D68","1N4148","D_SOD-123",285.225000,-85.993750,90.000000,bottom
"F1","500mA","Fuse_1206_3216Metric",24.710000,-17.120000,0.000000,bottom
"J1","JST SH 4-pin","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",66.050000,-17.503750,270.000000,bottom
"R1","10k","R_0805_2012Metric",49.710000,-34.520000,270.000000,bottom
"R2","22","R_0805_2012Metric",32.340000,-18.753750,0.000000,bottom
"R3","22","R_0805_2012Metric",32.340000,-16.253750,0.000000,bottom
"R4","10k","R_0805_2012Metric",29.823750,-55.950000,90.000000,bottom
"SW1","Reset","SW_SPST_TL3342",55.243750,-35.485000,0.000000,bottom
"U1","SRV05-4","SOT-23-6",38.223750,-17.503750,90.000000,bottom
"U2","ATmega32U4-MU","QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm",28.503750,-37.680000,270.000000,bottom
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",40.960000,-37.670000,180.000000,bottom
